hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support,analysis_confidence,top_aspects,top_strength_signals,top_concern_signals
BOD034,Çınar Butik Otel Bodrum,Bitez,10,2.7,1.5,0.6,0.4,24.5,80.0,90.0,LOW_SUPPORT,LOW,CLEANLINESS;NOISE;PRICE_VALUE;ROOM;FOOD,BAR_DRINKS;STAFF,CLEANLINESS;NOISE;FOOD
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,10,5.0,5.0,0.0,1.0,79.5,90.0,90.0,LOW_SUPPORT,LOW,STAFF;CLEANLINESS;FOOD;ROOM;BED_COMFORT,STAFF;CLEANLINESS;FOOD,
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,10,4.6,5.0,0.0,0.8,46.5,80.0,90.0,LOW_SUPPORT,LOW,SERVICE;STAFF;ROOM;CLEANLINESS;FOOD,SERVICE;ROOM;STAFF,
BOD045,Salmakis Resort & Spa,Bodrum Merkez,64,3.859375,4.5,0.219,0.719,48.0,48.4,93.8,STRONGER,HIGH,FOOD;STAFF;CLEANLINESS;ROOM;BEACH_SEA,FOOD;STAFF;CLEANLINESS,SERVICE;CHECKIN_CHECKOUT;MANAGEMENT
BOD048,Babana Hotel,Göltürkbükü,10,5.0,5.0,0.0,1.0,58.0,80.0,90.0,LOW_SUPPORT,LOW,STAFF;FOOD;BEACH_SEA;ROOM;CLEANLINESS,STAFF;FOOD;BEACH_SEA,
BOD049,Casa Del Mar Bodrum,Göltürkbükü,26,3.5,5.0,0.346,0.577,36.5,73.1,96.2,MODERATE,MEDIUM,CLEANLINESS;ROOM;FAMILY_KIDS;LOCATION;FOOD,FAMILY_KIDS;LOCATION;BAR_DRINKS,CLEANLINESS;ROOM;STAFF
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,21,4.523809523809524,5.0,0.048,0.857,39.0,81.0,100.0,MODERATE,MEDIUM,STAFF;FOOD;BEACH_SEA;ROOM;CLEANLINESS,STAFF;BEACH_SEA;FOOD,
BOD052,Flamm Bodrum,Göltürkbükü,69,4.463768115942029,5.0,0.13,0.855,38.0,44.9,92.8,STRONGER,HIGH,STAFF;FOOD;BEACH_SEA;ROOM;SERVICE,FOOD;STAFF;BEACH_SEA,AIR_CONDITIONING
BOD054,Lavinya Maison,Göltürkbükü,10,4.6,5.0,0.1,0.9,53.5,20.0,50.0,LOW_SUPPORT,LOW,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,BEACH_SEA;FOOD;CLEANLINESS,BED_COMFORT
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,10,4.6,5.0,0.1,0.9,33.0,90.0,100.0,LOW_SUPPORT,LOW,STAFF;BEACH_SEA;FOOD;ROOM;CLEANLINESS,BEACH_SEA;STAFF;FOOD,BAR_DRINKS
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,40,4.6,5.0,0.075,0.875,24.0,77.5,87.5,MODERATE,MEDIUM,SERVICE;STAFF;ROOM;LOCATION;FACILITIES,SERVICE;STAFF;LOCATION,PRICE_VALUE;FAMILY_KIDS;CHECKIN_CHECKOUT
BOD057,Selvi Bodrum,Göltürkbükü,79,3.5063291139240507,4.0,0.228,0.506,38.5,36.2,92.5,STRONGER,HIGH,ROOM;BEACH_SEA;FOOD;PRICE_VALUE;STAFF,PRICE_VALUE;STAFF;LOCATION,WIFI
