hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note,discovery_method,confidence_score,detected_hotel_name
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,google_travel,,review_required,2026-08-26T11:54:04Z,"detected='Yılmaz Hotel | Bodrum Ortakent Otelleri · 171 sonuç' vs expected='Yılmaz Hotel | Bodrum Ortakent Otelleri' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=84",,84,Yılmaz Hotel | Bodrum Ortakent Otelleri · 171 sonuç
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,google_travel,https://www.google.com/travel/hotels/entity/ChoIubvujcCOz-DMARoNL2cvMTFiNjNianFreRAB?q=Zest%20Exclusive%20Hotel%20and%20Spa%20Ortakent%20Yah%C5%9Fi%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwivq-6Jnr6WAxVUOAYAHbErFSUQvukIegQIAxAC,verified_direct,2026-08-26T11:54:20Z,"detected='Zest Exclusive Hotel and Spa' vs expected='Zest Exclusive Hotel and Spa' (card near-text was 'Zest Exclusive Hotel and Spa otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Zest Exclusive Hotel and Spa
BOD137,Armagan Apart Hotel,Torba,google_travel,,review_required,2026-08-26T11:54:35Z,"detected='Armagan Apart Hotel · 354 sonuç' vs expected='Armagan Apart Hotel' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=76",,76,Armagan Apart Hotel · 354 sonuç
BOD138,Bodrum Blue Bay Otel,Torba,google_travel,,review_required,2026-08-26T11:54:52Z,"detected='Bodrum Blue Bay Otel · 490 sonuç' vs expected='Bodrum Blue Bay Otel' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=77",,77,Bodrum Blue Bay Otel · 490 sonuç
BOD139,Casa Dell'arte Otel,Torba,google_travel,,review_required,2026-08-26T11:55:09Z,"detected='Casa Dell'arte Otel · 424 sonuç' vs expected='Casa Dell'arte Otel' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=76",,76,Casa Dell'arte Otel · 424 sonuç
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChkI2-iu15q5kbcWGg0vZy8xMWpoOHgwcHY0EAE?q=DoubleTree%20by%20Hilton%20Bodrum%20I%C5%9F%C4%B1l%20Club%20All%20Inclusive%20Resort%20Torba%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwjUlqSpnr6WAxUQBwYAHYdwNFoQvukIegQIAxAC,verified_direct,2026-08-26T11:55:26Z,"detected='DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort' vs expected='DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort' (card near-text was 'DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort o', 37 candidates on page) -> score=95",,95,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort
BOD141,DUJA BODRUM,Torba,google_travel,,NOT_FOUND,2026-08-26T11:55:43Z,"detected='Duja Bodrum · 583 sonuç' vs expected='DUJA BODRUM' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=67",,67,Duja Bodrum · 583 sonuç
BOD142,Hotel Torbahan,Torba,google_travel,,review_required,2026-08-26T11:55:59Z,"detected='Hotel Torbahan · 752 sonuç' vs expected='Hotel Torbahan' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=71",,71,Hotel Torbahan · 752 sonuç
BOD143,Hotel Zeytinada,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChcImdeM8b6Q57UNGgsvZy8xdGs1cW5tbBAB?q=Hotel%20Zeytinada%20Torba%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwi9t43Fnr6WAxXABQYAHdCYLG8QvukIegQIAxAC,verified_direct,2026-08-26T11:56:25Z,"detected='Hotel Zeytinada' vs expected='Hotel Zeytinada' (card near-text was 'Hotel Zeytinada otelini yeni sekmede aç', 35 candidates on page) -> score=95",,95,Hotel Zeytinada
BOD144,Mira Suites,Torba,google_travel,,NOT_FOUND,2026-08-26T11:56:51Z,"detected='Mira Suites · 415 sonuç' vs expected='Mira Suites' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=67",,67,Mira Suites · 415 sonuç
