otel_adi,yorum,hizmet,tarih,puan
Tropicana Beach Hotel,Oda kahvaltı olacak şekilde oteli tuttuk. Civarı gezeceğimiz için otelin sadece kahvaltısı olmasına özen gösterdik. İlk 2 gün sizin kahvaltı yok ücret yansır denildi resepsiyondan düzelttirdik. Çıkışta yine ekstra ücret var denildi durumu … Devamı,,Google üzerinde bir yıl önce,3/5
Tropicana Beach Hotel,"Arkadaşlarımızın tavsiyesi üzerine geldik personel çok ilgiliydi ve hizmet çok iyiydi çok sıcak kanlılar, kendimizi evimizde gibi hissettik , Esen hanıma da tüm resepsiyona da güler yüzünden ve sıcak kanlılığından ötürü çok teşekkür ederiz seneye tekrar gelmeyi düşünüyoruz her şey harikaydı .","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Çocuklar için uygun",Google üzerinde 11 ay önce,5/5
Tropicana Beach Hotel,"2 gece kaldık, guzeldi. Otel müdürü Yunis bey güler yüzlü bir insan. Kahvaltı da iyiydi. Odalar temizdi. Gelmeden 1 hafta önce aradık ön ödemeye gerek yok dediler. Resepsiyondaki bayann arkadaş odamızı ayarladi. Kısacası hiç bir sorun yaşamadık. Teşekkür ederiz","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 yıl önce,5/5
Tropicana Beach Hotel,"Genel anlamda otel iyi. Kendi havuzu ve plajı var. Odamız geniş ve ferahtı ama banyo ve yerler çok temiz değildi. Bu nedenle yerlerin süpürülmesini istedim. Gönderdikleri temizlik elemanı çok terbiyesizdi, odaya girmeden beğenmediysen … Devamı",,Google üzerinde 3 yıl önce düzenlendi,3/5
Tropicana Beach Hotel,Tropicana’ya ikinci gelişim. Geçen sene de iyiydi bu sene de iyi bozmamışlar. Özellikle de çalışanlardan aşırı memnunuz. Sanırım otel yetkilileri özellikle böyle sıcakkanlı ve nazik çalışanlar seçiyor hep böyle seçmeye devam etsinler. Nihat … Devamı,,Google üzerinde 2 yıl önce,5/5
Tropicana Beach Hotel,"Gayet güzel bir otel. Çalışanları çok ilgili. Müdür beye ayrıca teşekkür ederiz bizi kırmayıp odalarımızı değiştirdi. Plajı dalga olunca kirleniyor. Onun dışında olunsuzluk yaşamadık. Garsonları, mutfak ekibi ve resepsiyondaki çalışanlara teşekkür ederim. Çok ilgililer.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 yıl önce,5/5
Tropicana Beach Hotel,"Temiz, merkeze yakın, kahvaltısı güzel. Havuzu ise orta büyüklükte. Sahilde yeri de mevcut fakat deniz bu bölgede pek güzel değil. Otoparkı mevcut. Otel çalışanları ilgili ve güler yüzlüydü. Genel olarak memnun kaldık.","Odalar4,0Hizmet5,0Konum4,0",Google üzerinde 4 yıl önce,5/5
Tropicana Beach Hotel,"Otelde oldukça sorumsuz ve ilgisiz.
Rezervasyon için konuştuğumuz sırada oda var ve ücret için anlaştık. O esnada sizi yarım saate kadar arayacağız denildi. Sonra aramadılar. Ben aradım 3 kere … Devamı",,Google üzerinde 3 yıl önce,1/5
Tropicana Beach Hotel,"Konum güzel
Bina tüm Bodrum otelleri gibi bakıma muhtaç biraz … Devamı",,Google üzerinde 3 yıl önce,4/5
Tropicana Beach Hotel,Temizlik konusunda sınıfta kaldı. Çarşaflar da sarı sarı lekeler var. Kahvaltı açık büfe deniliyor fakat alakası yok. Bir gece kalıp çıktık. Ayrıca Gümbet denizi aşırı kirli. Havuzda takılırım diyorsanız olabilir ama plaj kısmı kötü.,"Odalar2,0Hizmet2,0Konum2,0",Google üzerinde 4 yıl önce,2/5
Tropicana Beach Hotel,"Oda kahvaltı olacak şekilde oteli tuttuk. Civarı gezeceğimiz için otelin sadece kahvaltısı olmasına özen gösterdik. İlk 2 gün sizin kahvaltı yok ücret yansır denildi resepsiyondan düzelttirdik. Çıkışta yine ekstra ücret var denildi durumu yeniden hatırlattık ek bir ücret ödemedik. Otelde çoğunlukla İngiliz yaşlı turistler vardı. Kahvaltı için havuzun kenarında bulunan masaya oturuyorsunuz garson gelip isteğinizi soruyor. Yabancı turistler için morning darling gibi samimi karşılamalar yapılıp iyi hizmet edilirken yerli turiste karşı aynı ilgi alakadan söz edemicem. Hatta son gün erken kahvaltı yapıp otelden ayrılalım dedik 08:30 dan 09:30 a kadar kahvaltının gelmesini bekledik. Garsona bizim daha erken sipariş verdiğimizi ancak diğer masaya kahvaltının önce geldiğini söylediğimiz de kendisi tarafından azarlanıp İngiliz kahvaltıdan sipariş gelince hepsi aynı anda çıkıyor diye yanıt aldık. Üslup yok hizmet desen ağır. Garsonun garsona lanlı lunlu konuştuğu bir hizmet anlayışı. İyi noktalarına gelecek olursam havuz ve denizi genelllikle sakin oluyor. Odaların balkonu var balkon olmayan yerlerinde bahçede masası var bu yönüyle iyi. Odalarda su ısıtma ve tost makinası mevcut. Temizlik iyi yapılıyor her gün belli saatte temizlikçi abla odaları temizliyor. Kendisi de güler yüzlü. Tarihi yerlere otel genelde 2-2,5 km gibi yakınlıkta bu yüzden gezmek için de ideal bir konumu var. Tercih edilebilir.","Odalar3,0Hizmet1,0Konum4,0
Otelde öne çıkanlarSessiz
OdalarOdalar farklılık gösteriyor içerisinde 1 çift 1 tek kişilik yatak olan oda verildi koltuk vs yok ancak bazı odalarda mevcut
Yiyecek ve içeceklerOda kahvaltı ücretsiz",Google üzerinde bir yıl önce,3/5
Tropicana Beach Hotel,"Genel anlamda otel iyi. Kendi havuzu ve plajı var. Odamız geniş ve ferahtı ama banyo ve yerler çok temiz değildi. Bu nedenle yerlerin süpürülmesini istedim. Gönderdikleri temizlik elemanı çok terbiyesizdi, odaya girmeden beğenmediysen gelmeseydin dedi. Neyseki daha sonra görevli biri gelip özür diledi.
Kahvaltı 1 tabak halinde geliyor ve 1 çay , kahve veya portakal suyu veriliyor , daha fazlasını isterseniz ekstraya giriyor.
Temizlikçinin terbiyesizliğine ve kahvaltının yetersizliğine rağmen otel negatif izlem bırakmadı.","Odalar3,0Hizmet3,0Konum4,0",Google üzerinde 3 yıl önce düzenlendi,3/5
Tropicana Beach Hotel,"Tropicana’ya ikinci gelişim. Geçen sene de iyiydi bu sene de iyi bozmamışlar. Özellikle de çalışanlardan aşırı memnunuz. Sanırım otel yetkilileri özellikle böyle sıcakkanlı ve nazik çalışanlar seçiyor hep böyle seçmeye devam etsinler. Nihat beye ve Büşra hanıma teşekkür ederiz, bir dediğimizi iki etmedi kendileri hiç burdan gitmesinler çünkü sadece bizimle değil bütün konaklayanlara samimi ve içtenler onlardan çok memnun kaldık çünkü diğer otellerdeki çalışanlar çok tahammülsüz, ilgisiz ve paragöz ama tropicana paradan çok müşteri memnuniyeti odaklı bir otel hiçbir sorun yaşatmıyorlar. Kahvaltı da iyi.Üçüncü tatilime de buraya gelirim muhtemelen :) kahvaltı güzel, konum güzel, odalar ferah. 10 yıldız","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 yıl önce,5/5
Tropicana Beach Hotel,"Otelde oldukça sorumsuz ve ilgisiz.
Rezervasyon için konuştuğumuz sırada oda var ve ücret için anlaştık. O esnada sizi yarım saate kadar arayacağız denildi. Sonra aramadılar. Ben aradım 3 kere telefona bakılmadı. Ertesi gün yine ben aradım. Bu sefer yer yok dedi. Durumu anlattım yoğunluk olmuştur şu an yerimiz yok şeklinde cevap aldım.
Anlayacağınız ilgisiz personellerin olduğu bir işletme. Demekki otel sahibi ya paralarını vermiyor yada az para veriyor. Elemanlar da umursamıyor.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 3 yıl önce,1/5
Tropicana Beach Hotel,"Konum güzel
Bina tüm Bodrum otelleri gibi bakıma muhtaç biraz
Resepsiyondaki arkadaşların azıcık daha güler yüzlü olmaları gerektiğini düşünüyorum.
Vale için bir amca vardı, lakin araç kullanmayı bilmiyordu, ama ama valizi odaya kadar taşıdı ağabey, bunun için özellikle teşekkür ediyorum. Ricalarıma rağmen valizi vermedi. 🙏
Emekleri için teşekkür ediyorum","Odalar4,0Hizmet3,0Konum4,0",Google üzerinde 3 yıl önce,4/5
