otel_adi,yorum,hizmet,tarih,puan
"Susona Bodrum, LXR Hotels & Resorts",Suyah beach ve pool kısmında manzarayla birlikte atmosfer çok hoştu. Şezlong ve kabanalardan tutun lavabolara kadar her yer tertemiz ve düzenliydi. Müzikler tam kıvamında yormayan türden seçilmişti. …,,Tripadvisor üzerinde bir ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Eşim ve köpeğim ile Susona’da çok keyifli bir tatil geçirdik. Tüm çalışanların ilgisi ve güleryüzlülüğü oldukça hoşumuza gitti, özellikle karşılama ekibindeki tüm arkadaşların yanında Meryem ve Kübra hanıma ilgilerinden ötürü teşekkür ediyorum. Köpeğimize gösterilen sevgi ve özen bizim için ekstra bir puandı. Kesinlikle tekrar gelmeyi tercih edeceğim bir tesis oldu.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Romantik · Sessiz",Google üzerinde bir ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Ailecek 4 gun konakladik. Butik kompakt bir otel. Ulasim kolay, tum ihtiyac alanlarina mesefe olmasi gerektiği gibi,ideal. Odalarin oldugu yerden plaja yurume yolu inanilmaz keyifli, yarim ada seklinde oldugundan deniz kenarindan ilerleyebiliyorsunuz, cok zevkli sofistike bir peyzaji ve dekoru var. Ozellikle poolbarin oldugu kisim chillout icin cok keyifli.Plajinin önü açık,denize girmesi iskeleden. Biz cocukla gayet rahat ettik. Odalar temiz, ferah ozenli. Personel cok ilgili, guleryuzlu. Ilk karsilama yapanlardan bellboy a kadar hepsi cok samimiyetle ilgileniyor. Ilk kaldigimiz aksam ufak bir pürüz yasadik, sonrasinda önce restorandan sorumlu Erkan bey akabinde ise otel müdürü Barış bey cok ilgilendi, özellikle Barış bey her turlu konuda konforlu hissetmemiz icin gayret sarf etti. Cok keyif aldigimiz bir deneyim oldu. Teşekkür ederiz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 3 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Tatilimiz boyunca hem otelin konforundan hem de çalışanların ilgisinden çok memnun kaldık. Özellikle odalar her gün büyük bir özenle temizleniyordu; her zaman ferah, düzenli ve çok konforluydu. Ortak alanların temizliği de aynı şekilde oldukça başarılıydı. Suyah ve Ezi restoranlardaki yemekler ise hem çeşitlilik hem lezzet açısından gerçekten çok keyifliydi. Tüm bu güzel deneyimin yanında misaflr iliskilerinden Özge Hanım’ın ilgisi tatilimizi ayrı bir noktaya taşıdı. Kahvaltıdan plaja kadar günün her anında güler yüzüyle bizimle ilgilendi, tüm ihtiyaçlarımızı hızlıca çözdü ve kendimizi çok değerli hissettirdi. Kendisine ve tüm ekibe unutulmaz bir tatil yaşattıkları için çok teşekkür ederiz.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Her şey çok güzeldi. Yemekler çok lezzetliydi. İlk girişte bizi Özge hanım çok güzel karşıladı ve sonrasında da çok güzel bi ilgiyle ağırladı. Diğer çalışan herkes de çok ilgiliydi. Havuz, deniz ve ortam çok keyifliydi güzel fotoğraflar çekildik o şekilde dönüyoruz. Teşekkürler tekrardan","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · İleri teknolojili",Google üzerinde 2 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Tek kelimeyle harika , başka hiçbir yere bakmadan gözünüz kapalı rezervasyon yaptırabilirsiniz . Otel çalışanları sizin konforunuz ve keyifli vakit geçirmeniz için ellerinden ne geliyorsa yapıyorlar . Başta Ali Keçeli bey’e sonrasında tam bir efsane olan Concierge şefi Engin bey’e ve beraberinde ,Meryem hanım , Yusuf , Ogün , Abdullah ve Veysel ‘e konaklamamız boyunca sundukları inanılmaz destek için çok teşekkürler .","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara
OdalarLüks
Yakındaki etkinliklerHeryere yakın
GüvenlikÇok iyi
Yürüme olanaklarıBaşarılı
Yiyecek ve içeceklerEfsane
Önemli ayrıntılarLüks ve kaliteli bir konaklama geçirmek isteyen herkes gözü kapalı gelebilir",Google üzerinde 2 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts",Geçen sene konaklama yaptık pozitif ve negatif yanları olmasına rağmen bu sene bir kere daha şans vermek istedik. Ancak Resepsiyondan telefon yüzümüze kapatıldı ve Barış isimli çalışan tarafından beklenmedik bir kaba tavıra maruz kaldık.,,Tripadvisor üzerinde 3 hafta önce,1/5
"Susona Bodrum, LXR Hotels & Resorts",Çok güzel vakit geçirdik burda. Odalar manzarası muhteşemdi. Bodrumun en iyi otellerinden biri diyebilirim. Çalışalar da ayrıca güleryüzlü. Özge Nur hanıma teşekkür ederiz ilgisinden dolayı. Çok iyi ağırlanmış hissettik,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde 3 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts",Öncelikle Otel’e ilk giriş yaptığımız andan itibaren Kübra ve Meryem Hanım bizleri mükemmel karşıladı ve Ön Büro Müd Hakan Bey’ede oda tercihi için teşekkür ederiz.Odamız mükemmeldi.Geniş ve ferah her gün temizliği yapıldı.Hijyene çok …,,Tripadvisor üzerinde 4 hafta önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Geçtiğimiz hafta Susona Bodrum’da konakladık ve her detayından büyük keyif aldık.
Otelin zarif atmosferi, sakinliği ve yüksek hizmet anlayışı gerçekten çok etkileyiciydi.
Tüm ekip son derece profesyonel ve içtendi. Özellikle giriş ekibi ve konaklamamız boyunca bize destek olan çalışanların ilgisi kendinizi gerçekten özel hissettiriyor.
Kahvaltı oldukça kaliteli ve özenliydi; odalar ise geniş, ferah ve çok konforluydu.
Bodrum’da hem huzurlu hem de rafine bir deneyim yaşamak isteyenler için çok özel bir adres.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks
OdalarMükemmel
Yakındaki etkinliklerÇok iyi
GüvenlikÇok iyi
Yürüme olanaklarıÇok iyi
Yiyecek ve içeceklerMükemmel",Google üzerinde 3 ay önce,5/5
