otel_adi,yorum,hizmet,tarih,puan
Selvi Bodrum,"Ailemle kaldım, otelin yeri Türkbüküne araçla 4 dakika, aile ortamı,çocuklar için uygun,otopark sıkıntısı yok, oda kahvaltı. Kahvaltı yeterli ve temiz. Oda temizliği çok iyi. Özel Plajı-İskelesi var, havuzda ve plajda yer problemi yok. Personel genel olarak çok saygılı, Barmenler işinin uzmanı, Müdür Mustafa Bey otelin yönetim organizasyonunda başarılı. Müşteri odaklı,işini düzgün yapan biri...Sahipleri çok mütevazi, kaliteli insanlar. Kötü birşeyle karşılaşmadım.Sivrisinek biraz oluyor akşamları,otelde yemek bir tık pahalı...Hepinize selamlar☺","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 yıl önce,5/5
Selvi Bodrum,"Genel olarak iyi, çocuklar için havuz kullanımı mümkün. 1200 tl harcama limiti makul ama kişi başı 400tl şezlong ücreti alınıyor, bu hoş olmamış.","Hizmet4,0Konum5,0",Google üzerinde bir yıl önce,4/5
Selvi Bodrum,Arkadaşımızın düğünü için gittiğimizde bir gece konaklama imkanımız oldu . Çalışan personel çok ilgili ve düğün boyunca bardağımzdaki son yudumu aldıktan sonra bile hemen gelip tekrar isteyip istemediğimi sordular . Dikkatli ve çalışkanlar . Odalar ile ilgili çok beğendiğimi söyleyemeyeceğim . Biraz bakımsız ve eski buldum . Ve otele girer girmez çok ağır bir kokuyla karşılaştım . Bölge ile ilgili olduğunu düşünüyorum . Genel olarak hizmet çok iyi atmosfer çok iyi konum da güzel ancak odalar temiz fakat biraz daha şık ve bakımlı olabilir . Orduevi gibi gözüküyor.,"Odalar3,0Hizmet5,0Konum4,0",Google üzerinde bir yıl önce,5/5
Selvi Bodrum,"Şahane ortam çocukla yapılacak tatil için doğru adres , denizddn odanıza 1 dk da geçebilirsiniz güzel yeşil oyun alanı çocuklar için mükemmel akşam çıkan selvi kurabiye şahane , güler yüz ve güzel hizmet . ⭐️⭐️⭐️⭐️⭐️","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun · Büyük fırsat …Devamı",Google üzerinde 11 ay önce,5/5
Selvi Bodrum,Konum olarak iyi. Denize sıfır konumda.Yeşillik alanı fazla evcil hayvanınızla rahat edersiniz. Odalar biraz eski duşta sıcak su soğuk su dengesi bozuk ya kaynar ya soğuk akıyor.Fiyatlar makul. Kahvaltısı fena değildi. Çalışanlar yardımsever.Sivrisinek sorunu var. Hatta baya fazla var 🙂,"Odalar2,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir yıl önce,4/5
Selvi Bodrum,"Bodrumdaki evimiz <3 7-8 senedir Bodrum'a değil Selvi'ye gidelim deriz biz çünkü bizim için Bodrum demek Selvi demektir... Bu sene Ekim ayında düğünümüzü de burada yaptık, unutulmaz bir eğlence oldu hepimiz için. Söyleyeceğim cok fazla güzel sey var, iyi ki sizi tanıdık. Bilhassa belirtmek isterim tabii ki de Macide hanımın neffis kurabiyesi <3 sezonu kapadık, seneye görüşürüzzz","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
Odalarhepsi yenilenmişti bu sene neffis olmuş
Yakındaki etkinliklerdenize 0
Güvenlikaile oteli ve güvenli
Yürüme olanaklarısahil boyu yürüyüş yapabilrsiniz
Yiyecek ve içecekleranlatılmaz yaşanır o derece neffffis
Önemli ayrıntılarsizi seviyoruz <3",Google üzerinde 10 ay önce,5/5
Selvi Bodrum,"Tüm çalışanlar çok kibar, ilgili ve işine önem veren insanlar. Otel mekan olarak da oda dizaynı olarak da çok güzel. Konum olarak da gayet iyi biz uçakla gelip araç kiralamadığımız halde çok rahat geldik (taksiye bile binmeden). Beğenmedim diyeceğim tek yanı musluklardan resmen deniz suyu akıyor. Duş aldığımız, dişlerimizi fırçaladığımız su resmen tuzlu.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir yıl önce,4/5
Selvi Bodrum,Lokasyon çok güzel. Denize olan mesafesi ve havuzu olması çok güzel. Fakat yemekler çok başarısızdı. Bodrum mantısı diye menüde olmasına rağmen Kayseri mantısı olduğunu söylediler fakat mantı çok kötüydü. Hamburger tam bir kantin hamburgeriydi ve fiyaskoydu. Yemekler maalesef başarısız. Ancak deniz ve havuz çok güzel. Saat 16 civarı çıkan kurabiyeleri de kesinlikle denenmeli. Gayet başarılı. Maalesef girişte 300 tl giriş ücreti ödeyip bir de en az 600 tl harcanılması gerektiği söyleniyor. Maalesef fiyatlar çok yüksek. 600 tlden fazlasını zaten harcıyorsunuz. 300tl yi de en azından bu harcama limitine sokulsa daha mantıklı olur.,"Hizmet4,0Konum4,0",Google üzerinde bir yıl önce,3/5
Selvi Bodrum,"28 Haziran 2024’te düğünümüzü Selvi’de yaptık. Öncesinde ve sonrasında otelde de birkaç gün geçirme şansımız oldu. A’dan Z’ye her şeyiyle çok güzeldi. Odalar ve havuz tertemizdi. İskele, deniz, bahçe hepsi çok keyifliydi. Ne bizim ne de başka birinin bir dediği iki edilmedi. Düğün de muhteşemdi, kaç kişiden katıldığım en iyi düğün diye dönüş aldım bilmiyorum, herkes yemeklerin bolluğu ve lezzetinden bahsetti. Geçen sene ilk kez düğün için görüşmeye gitmemizden bugüne dek Semih Bey bizi bir kere bile üzmedi. Her şeyi halletti, 1 sene boyunca ne zaman ricacı olsak, aklımıza bir şey takılsa, anında dönüş yaptı. Macide Hanım ve Mine Hanım ailemle çok özel ilgilendiler, herkes Macide Hanım’ın kurabiyeleri ve gülen yüzünü konuştu. Sırf ricacı olduk diye, yurtdışından gelen misafirlerimize özel -otelde kalmayanlar da dahil- Euro 2024 futbol maçları bile gösterildi. Hasret Hanım öncesinde de ama özellikle de düğün günü peşimizde pervane oldu. Mustafa Bey’i kaç kere rezervasyon değişiklikleri ve hesaplarla ilgili aradım ben bilmiyorum, bir kere gık demedi, olmaz demedi. Kasım şef, Mustafa şef, mutfak çalışanları, temizlik çalışanları, adını sayamadığım bir sürü kişi var üstümüzden emeğini esirgemeyen.. biz Selvi ailesini çok sevdik, her şey için çok teşekkür ederiz. - Buşra ve Farcy ♥️",,Google üzerinde 2 yıl önce,5/5
Selvi Bodrum,"4 gece 5 gun ailem ile beraber konakladim, konumundan dolayi otel disindaki programlarima uygun diye tercih ettim. … Devamı",,Google üzerinde 3 yıl önce,1/5
Selvi Bodrum,"Siz oraya huzur bulmaya gidersiniz.
Birde bakmışsınız ki Hotel sahibi yolunuzu keserek sizin dışarıdan kaçak giriş yapan biri olduğunuzu düşünerek hesap sormaya başlamış. … Devamı",,Google üzerinde 2 yıl önce,1/5
Selvi Bodrum,Biz denize girmek için tercih etmiştik. 300tl tesis kullanım bedeli ve 600₺ minimum harcama yapmanız isteniyor. Ortam çok güzel yeşillik ağaçlar ve havuzu çok dinlendirici. Fakat yemekler facia ben ve arkadaşım mantı istemiştik hayatımızda … Devamı,,Google üzerinde bir yıl önce,3/5
Selvi Bodrum,"Hem konumu hem servisi çok güzel, denize sıfır olması harika. Odalar temizdi, hizmetten de çok memnun kaldık. Çok keyifli bir tatildi.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir yıl önce,5/5
Selvi Bodrum,"Denizi ve bahçesi güzel. Odalar eski ama kullanışlı ve geniş, balkonlu, odalarda her şey var. Havuzu temiz. Şezlong tarafı biraz bakımsız, her yerde büyük sokak köpekler geziyor. Kahvaltı çeşit olarak iyi fakat sıraya giriyorsunuz … Devamı",,Google üzerinde 3 yıl önce,3/5
Selvi Bodrum,Oda kahvaltı konaklama konsepti var. Odalar 2-3 kişilik. Mekanın konumu çok güzel. Havuz çocuk havuzuyla birlikte yeterli büyüklükte. Palmiye bahçesi ve çimenlik alanı var. Restoranı denize sıfır. Kahvaltısı yeterli. Odalar büyük ve geniş … Devamı,,Google üzerinde 2 yıl önce düzenlendi,5/5
Selvi Bodrum,"her yaz günübirlik olarak geliriz, son 2 yıldır fiyatları şımarmış durumda. ortam güzel, deniz güzel, kurabiyeler güzel vs ancak kişi başı 900 TL'ye değecek bir durum bence yok.",,Google üzerinde 2 yıl önce,3/5
Selvi Bodrum,"Maalesef odalar cok fena kokuyor ve cok eski. Garsonlar cok cana yakin ve caliskan. Fakat genc bir beyefendi (sahiplerden sanirim, aksam dugun organizasyonlarinda ortaya cikiyor) biraz misafirperverlikten uzak bir karakter. Dugun gunleri … Devamı",,Google üzerinde bir yıl önce,3/5
Selvi Bodrum,Odalarını bilmem ama büyük bir düğün organizasyonu için gitmiştim. Masada ray ban gözlüğümüzü unuttuk. Masayı hemen karşıdan gören güvenlik kameraları da mevcuttu. Ertesi gün arayıp yerini tarif etmemize rağmen gözlük bulunamadı. Üstelik … Devamı,,Google üzerinde 2 yıl önce,1/5
Selvi Bodrum,"Geniş bahçesi, plajı gayet keyifli. Odamız gayet temiz ve düzenliydi. Kahvaltısı geniş ve güzeldi. Çalışanları yardım sever, kibar. Özellikle bizimle ilgilenen Bilal isimli arkadaş iyi niyetli ve güler yüzlü. Rezervasyon durumunun da uygun … Devamı",,Google üzerinde 4 yıl önce,5/5
