otel_adi,yorum,hizmet,tarih,puan
Greenport Bodrum,Tur vesilesiyle konakladık 2 gün .Otelin konumu iyi denize sıfır ancak odaların ve eşyaların ciddi bir tadilata ihtiyacı var zira odalarda -banyolarda sağlık riski doğuracak kadar ciddi bir küf ve nem kokusu var. yemekler kısmına gelecek … Devamı,,Google üzerinde 2 ay önce,1/5
Greenport Bodrum,"Bu otelle ilgili en büyük problem eski odalar, eksik hizmetler veya otopark yetersizliği değil; misafirlere karşı uygulanan açık çifte standart ve ayrımcı yaklaşım. … Devamı",,Google üzerinde 2 ay önce,1/5
Greenport Bodrum,Hayatımda gittiğim en ama en kötü oteldi. Jolly Turla temmuz ayında gittik. Jolly tura da şikayet ettim oteli. Otel dışardan güzel duruyor. Manzarası güzel. Her şey odaya girdiğinizde başlıyor. Keskin bir küf kokusu. Küf kokusundan … Devamı,,Google üzerinde bir ay önce,1/5
Greenport Bodrum,"Eski bir hotel, konumu merkezi, denize sıfır, denize girebildiğiniz sahile çıkıyor şezlongları var. Uygun fiyata tatil planlamaları için güzel. Ama odaların ciddi bir bakıma ihtiyacı var. Beklentinizi 5 yıldızlı hotele göre kıyaslamayın. Hatta çok düşük tutun.",Otelde öne çıkanlarBüyük fırsat,Google üzerinde bir ay önce,3/5
Greenport Bodrum,1temmuz 2026 da giriş yapıp o günü hayal kırıklığına uğrayıp tüm günü başka bir otel arayışına girdiğimiz mecbur geceyi geçirmek zorunda kaldığımız bir yer maalesef. Şöyle ki otel pansiyon havasında sadece yemek veriyor hali. Herşey dahil … Devamı,,Google üzerinde bir ay önce,1/5
Greenport Bodrum,"This place was increadbly awful! One night cost is 6000tl hat is not even worth it 6 tl
I would like to contact w my agent that this place has banned fom their list! … Devamı",,Google üzerinde 2 ay önce,1/5
Greenport Bodrum,Her şey dahil denilen otelde alkol olarak fıçı bira dandik marka votka rakı ve şarap dışında bir şey yok oda belli saatlerde su istiyorsun şurda sebil var diyorlar sıcak su sorunu var ve bildiğin deniz suyu akıyor musluklardan kesinlikle önermiyorum sıradan bir pansiyonda kalmak daha mantıklı bence,"Odalar2,0Hizmet1,0Konum5,0",Google üzerinde bir ay önce,1/5
Greenport Bodrum,20 senwdir herşey dahil konseptine giderim işk defa başıma bu kadar kötü nir şey gelmemişti tek yıldızı bile haketmiyor havlunın verilnediği barda kola fanta haricinde bi şey yok onuda markettek 10 kuruşluki tek başına kullanıldıgında … Devamı,,Google üzerinde bir ay önce,1/5
Greenport Bodrum,"yorumlardan etkilenmeyin uygun fiyatli oluşu ve beklentilerinizde yuksek degilse fiyatina gore guzel otel, denize sifir oluşu havuzun ve odanin temiz olmasi yeterli yemeklerde kişiye gore degisir.girişte atakan bey ilgili ve alakali idi.",Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun,Google üzerinde bir ay önce,5/5
Greenport Bodrum,"Otele ilk gırıs yaptıgımız saat 14.00dı , kapıda suratı asık resepsıyonıst hosgeldın bıle demedı, yerımızın hala hazırlanmadıgını 5 . 10dakıka ıcınde anahtarı teslım edılecegını soyledı, 1.5saat gecdı hala hazır degıldı oda , ben bagırınca … Devamı",,Google üzerinde 2 ay önce,1/5
Greenport Bodrum,Tur vesilesiyle konakladık 2 gün .Otelin konumu iyi denize sıfır ancak odaların ve eşyaların ciddi bir tadilata ihtiyacı var zira odalarda -banyolarda sağlık riski doğuracak kadar ciddi bir küf ve nem kokusu var. yemekler kısmına gelecek olursak yaklaşık altı sene Kyk‘da kalmış birisi olarak hayatımda gördüğüm en sağlıksız ve lezzetsiz yemekler vardı yemekten öğürerek çıkıp dışarıda yemek zorunda kaldık. Aslında otel potansiyeli yüksek bir otel yeri vs güzel balkon da çok güzel ama geri kalanlar insan sağlığının tehdit edecek düzeyde ayrıca eklemeyi de unuttum odalarda sıcak su da yok,"Odalar1,0Hizmet2,0Konum3,0",Google üzerinde 2 ay önce,1/5
Greenport Bodrum,"Bu otelle ilgili en büyük problem eski odalar, eksik hizmetler veya otopark yetersizliği değil; misafirlere karşı uygulanan açık çifte standart ve ayrımcı yaklaşım.
Rezervasyon yapmak için aradığımda sırf tek başıma seyahat eden bir erkek olduğum için otele kabul edilmeyebileceğim, bunun için özel onay alınması gerektiği söylendi. Kısa süre sonra tekrar aranarak kabul edildiğim bildirildi ancak bu kez de tek erkek olduğum için ücretin tamamını telefonda ödemem gerektiği ifade edildi. Otele sadece 15 dakika uzaklıkta olduğumu ve ödemeyi girişte yapabileceğimi söylememe rağmen, “İsterseniz 1 dakika mesafede olun, tek erkek olduğunuz için telefonla ödeme yapmak zorundasınız” cevabını aldım.
Bir müşteriye yalnızca cinsiyeti ve tek başına seyahat etmesi nedeniyle farklı muamele yapılmasını kabul edilemez bulduğumu söylediğimde ise karşılaştığım cevap son derece kibirliydi: “İstediğiniz yere şikayet edebilirsiniz.”
Daha otele gelmeden başlayan bu yaklaşım, işletmenin müşteri memnuniyetinden çok müşteri seçmeye odaklandığını düşündürdü.
Otele vardığımda otopark olmadığı ortaya çıktı. Yardım istemek için aradığımda ise aracımı yol kenarına bırakmam önerildi. Bahsettikleri yer şehirlerarası yol üzerindeydi ve güvenli şekilde park edilebilecek bir alan yoktu. Misafire çözüm üretmek yerine başından savan bir anlayışla karşılaştım.
Çifte standart bununla da sınırlı değildi. Rezervasyon sırasında evcil hayvan kabul edilmediği özellikle belirtilmesine rağmen, otele giriş yaptığımda lobide işletmeye ait bir köpeğin bulunması oldukça ironikti. Misafirin hayvanı yasak, işletmenin hayvanı serbest. Kuralların kişiye göre değiştiğini görmek güven duygusunu tamamen ortadan kaldırıyor.
Her şey dahil konseptindeki bir otelde yemek sonrası soda bulunmaması, Türk kahvesi isteyince sadece otomat kahvesi sunulması da hizmet kalitesinin seviyesini gösteriyor. Odalar oldukça yıpranmış durumdaydı, tuvalet kapısı kapanmıyordu ve sıcak su problemi yaşadım.
Bugüne kadar birçok otelde konakladım. İlk kez bir işletmede kendimi müşteri gibi değil, adeta sorgulanması gereken bir kişi gibi hissettim. Fiziksel eksiklikler zamanla giderilebilir; ancak ayrımcılık, çifte standart ve misafire karşı sergilenen umursamaz tavır çok daha ciddi sorunlardır.
Tek başına seyahat eden erkek misafirlerin özellikle dikkatli olmasını tavsiye ederim. Bu işletme hakkında aklımda kalan şey ne manzara oldu ne yemekler ne de hizmet; yalnızca ayrımcılık ve profesyonellikten uzak yaklaşım oldu.","Odalar2,0Hizmet1,0Konum4,0
OdalarOdalar son derece eski tuvalet kapısı kapanmıyordu sıcak su yoktu
Yiyecek ve içeceklerHer şey dahil otelde yemek sonrası soda istedim yoktu Türk kahvesi istedim sadece otomat kahveleri vardı",Google üzerinde 2 ay önce,1/5
Greenport Bodrum,"Hayatımda gittiğim en ama en kötü oteldi. Jolly Turla temmuz ayında gittik. Jolly tura da şikayet ettim oteli. Otel dışardan güzel duruyor. Manzarası güzel. Her şey odaya girdiğinizde başlıyor. Keskin bir küf kokusu. Küf kokusundan uyuyamayabilirsiniz. Eşyalar çok eski. Yataklar rahatsız. Sıcak su akmıyordu. Ertesi gün ancak sıcak su verdiler. Duş almak bile sıkıntı olur mu ya bir otelde. Yemekler ve kahvaltı da aynı kalitesizlikte. Yemek yenilen yerde ızgarada balık, tavuk yapıyorlar üstünüz kokuyor. Çalışanlar çok ilgisiz. Bence bu otelin yıkılıp yerine yeni bir otel yapılması lazım. Tek güzel olan güvercinlik manzarası.","OdalarBerbat
Yakındaki etkinliklerYok
Yiyecek ve içeceklerGüzel değil.",Google üzerinde bir ay önce,1/5
Greenport Bodrum,1temmuz 2026 da giriş yapıp o günü hayal kırıklığına uğrayıp tüm günü başka bir otel arayışına girdiğimiz mecbur geceyi geçirmek zorunda kaldığımız bir yer maalesef. Şöyle ki otel pansiyon havasında sadece yemek veriyor hali. Herşey dahil güya havlu vermiyor havuzu küçük akşam animasyon falan yok banyoda sıcak su akmıyor çeşmelerden tuzlu su akıyor hijyen hiç yok yastık kirliydi ve ter kokusu vardı diğer odada duş kafası yok tuvalet banyo pas içinde bu şartlarda bu paraları neye göre alıyorlar anlamıyorum çalışan bulup bir şey sormak bir şey istemek zor kesinlikle tavsiye etmiyorum paranıza ve zamanınıza yazık,"Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
Greenport Bodrum,"This place was increadbly awful! One night cost is 6000tl hat is not even worth it 6 tl
I would like to contact w my agent that this place has banned fom their list!
Şimdiye kada gördüğüm en berbat otel ! Parasını ödediğimiz halde içeri girmemizle çkmamız bir oldu Aldığımız ders oteli görmeden para ödememek oldu.
Tourisim bakanlığına şikayet edilecek kadar kötü!!Gecelik 6000tl değil BİR KURUŞ BİLE ETMEZ!","OdalarAWFUL BERBAT ÖTESİ
Önemli ayrıntılarItele kokudan girilmiyor arabanuzı yolun kıyısına park ettiriyorlar ve geceliği 6000TL RİP OFF!!",Google üzerinde 2 ay önce,1/5
Greenport Bodrum,20 senwdir herşey dahil konseptine giderim işk defa başıma bu kadar kötü nir şey gelmemişti tek yıldızı bile haketmiyor havlunın verilnediği barda kola fanta haricinde bi şey yok onuda markettek 10 kuruşluki tek başına kullanıldıgında yamulan plastik bardak ile veriliyor odada sıcak su yok açıp 10 dk bekleyin diyorlar yarım saat bekledik yok 1 gün kaldım oda tatilbudur dan iptalinin gerçekleşmesi için beklediğim süre sebebi ile.sivrisek gece içinizden geçiyor arabayı caddeye park ediyorsunuz bir daha önünden geçmem,,Google üzerinde bir ay önce,1/5
Greenport Bodrum,"Otele ilk gırıs yaptıgımız saat 14.00dı , kapıda suratı asık resepsıyonıst hosgeldın bıle demedı, yerımızın hala hazırlanmadıgını 5 . 10dakıka ıcınde anahtarı teslım edılecegını soyledı, 1.5saat gecdı hala hazır degıldı oda , ben bagırınca 5dakıkaya hazrı odanız denıldı odaya gırıs yaptık temızlık gorevlı sı hala odaya bıle gırıs yapmadıl temızlemedık dedı, 8saatlık yol yorgunluğundan sonra saatlerce lobıde bekledık, havuz temız degıldı, oda leş gıbı idrar kokuyor, yemekler vasat, insan bakınca doyuyor, sıvrısınek tahta kuruluş fare hertürlü doğa hayvanı bulunmakdadır, havuza gırmek ıcın sümela manastırı gıbı merdıvenlrden inmek gereklı, bu otelın tek ıyı yönü barmenlerın güleryüzlü olması ozellıkle barmen Ahmet bey çok ılgılı ve güleryüzlü, saygılı bır beyefendı. Muhasebecı ve eşi de ılgı alaka larından dolayı teşekkür ederım. Hayatımda yasadıgım en berbat tatıldı. Knumu güzel olmasına rağmen degersızlestrılen bır işletme","Odalar1,0Hizmet2,0Konum2,0",Google üzerinde 2 ay önce,1/5
